"","lhs","op","rhs","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","EL","=~","Q4_3","",0,1,0,NA,NA,1,1,0.62889459750239,0.742861294769584,0.742861294769584
"2","EL","=~","Q4_4","lam44",0,1.0366423389111,0.0510186893329692,20.3188743667157,0,0.936647545280044,1.13663713254216,0.651938766483433,0.769860730543032,0.769860730543032
"3","EL","=~","Q4_5","lam45",0,1.04893353869592,0.0767778296353051,13.6619326656973,0,0.898451757799571,1.19941531959227,0.659668635624929,0.758490576713627,0.758490576713627
"4","EL","=~","Q4_9","lam49",0,1.07562004988672,0.0934776803093465,11.5067045558593,0,0.89240716312205,1.25883293665139,0.676451638339008,0.70102538138159,0.70102538138159
"5","EL","=~","Q4_11","lam411",0,1.163168776012,0.0829670195365297,14.0196524174267,0,1.00055640581577,1.32578114620823,0.731510559217412,0.769652907419261,0.769652907419261
"6","EL","=~","Q4_15","lam415",0,1.00409450722091,0.0714151645905838,14.0599620959678,0,0.864123356673366,1.14406565776845,0.631469610973055,0.715716672840343,0.715716672840343
"7","EL","=~","Q4_18","lam418",0,1.01542064427795,0.0688517833392688,14.7479207513688,0,0.880473628661631,1.15036765989427,0.638592557378801,0.809227649256072,0.809227649256072
"8","SC","=~","Q5_1","",0,1,0,NA,NA,1,1,0.635590305798726,0.668787782470484,0.668787782470484
"9","SC","=~","Q5_2","lam52",0,1.06902930448632,0.096659393045671,11.0597560237236,0,0.879580375349307,1.25847823362334,0.679464662546261,0.672539479258163,0.672539479258163
"10","SC","=~","Q5_3","lam53",0,1.12091240768347,0.0966271085970813,11.6003927257876,0,0.931526754902952,1.31029806046399,0.712441059973124,0.685196450648536,0.685196450648536
"11","SC","=~","Q5_5","lam55",0,1.06858405725772,0.110688550818201,9.65397097855952,0,0.851638484153119,1.28552963036233,0.67918166772408,0.641914206641612,0.641914206641612
"12","SC","=~","Q5_6","lam56",0,1.04470488214055,0.0986716274172553,10.5876928301059,0,0.851312046106776,1.23809771817433,0.664004295509135,0.720760245535967,0.720760245535967
"13","SC","=~","Q5_12","lam512",0,1.01202207286266,0.0934976959190893,10.824032217205,0,0.828769956223768,1.19527418950155,0.643231418765838,0.636061312986308,0.636061312986308
"14","IN","=~","Q6_2","",0,1,0,NA,NA,1,1,0.596941291060374,0.657247256642963,0.657247256642963
"15","IN","=~","Q6_5","lam65",0,0.925177529306711,0.122007833174825,7.58293549874804,3.37507799486048e-14,0.686046570452282,1.16430848816114,0.552276668804395,0.502886160476796,0.502886160476796
"16","IN","=~","Q6_6","lam66",0,1.06023025399059,0.0949256465311314,11.1690601300554,0,0.874179405580394,1.24628110240079,0.632895216638412,0.805557184796731,0.805557184796731
"17","IN","=~","Q6_7","lam67",0,1.2497141007502,0.121605720454208,10.2767706657418,0,1.01137126834591,1.48805693315449,0.746005948758178,0.852224267482683,0.852224267482683
"18","IN","=~","Q6_8","lam68",0,1.09418618276837,0.0900763665195177,12.1473170493759,0,0.917639748531884,1.27073261700485,0.653164912602172,0.783891215340049,0.783891215340049
"19","IN","=~","Q6_11","lam611",0,1.11035528770065,0.1263700522762,8.78653816866201,0,0.86267453651485,1.35803603888644,0.662816918975737,0.679528509009217,0.679528509009217
"20","EN","=~","Q7_2","",0,1,0,NA,NA,1,1,0.682365105255809,0.769693938383397,0.769693938383397
"21","EN","=~","Q7_4","lam74",0,0.933347369136471,0.0698689512833284,13.3585427001991,0,0.796406740983564,1.07028799728938,0.636883675781041,0.676397299363208,0.676397299363208
"22","EN","=~","Q7_5","lam75",0,1.07203974282099,0.0756159753944648,14.1774239798997,0,0.923835154391975,1.22024433125001,0.731522511948458,0.776907333612033,0.776907333612033
"23","EN","=~","Q7_7","lam77",0,0.982473293549077,0.100775842736648,9.7490952878114,0,0.784956271273575,1.17999031582458,0.670405492363638,0.628860064712881,0.628860064712881
"24","EN","=~","Q7_8","lam78",0,1.02669371542036,0.0780307574962794,13.1575515650904,0,0.873756241041275,1.17963118979945,0.700579965188293,0.748651288346603,0.748651288346603
"25","EN","=~","Q7_14","lam714",0,0.873077426591369,0.102469380840161,8.52037378808075,0,0.672241130626535,1.0739137225562,0.59575757009249,0.571672968187559,0.571672968187559
"26","EL","~~","EL","",0,0.395508414767693,0.0617937998782984,6.40045466610952,1.54914969741071e-10,0.274394792538353,0.516622036997033,1,1,1
"27","EL","~~","SC","",0,0.2772135945778,0.0472192454262071,5.87077561438422,4.3376102709658e-09,0.184665574165277,0.369761614990324,0.693520648015813,0.693520648015813,0.693520648015813
"28","EL","~~","IN","",0,0.283978747911601,0.0478213522723366,5.93832533832121,2.87948198618437e-09,0.190250619765819,0.377706876057384,0.756443256348269,0.756443256348269,0.756443256348269
"29","EL","~~","EN","",0,0.319487062222557,0.0470033773137988,6.79710864369666,1.06739062033512e-11,0.227362135535764,0.411611988909349,0.744489543082557,0.744489543082557,0.744489543082557
"30","SC","~~","SC","",0,0.403975036825317,0.0626929323333074,6.44370939099772,1.16588294574171e-10,0.281099147366828,0.526850926283806,1,1,1
"31","SC","~~","IN","",0,0.254100908570326,0.0461825345599648,5.5020996788384,3.75294659793468e-08,0.163584804118018,0.344617013022633,0.669726267411722,0.669726267411722,0.669726267411722
"32","SC","~~","EN","",0,0.357175148494111,0.0483828485137548,7.38226787934095,1.55653268052447e-13,0.262346507937694,0.452003789050528,0.823544667684642,0.823544667684642,0.823544667684642
"33","IN","~~","IN","",0,0.356338904972826,0.072633044263216,4.90601638121464,9.294476563948e-07,0.213980754129419,0.498697055816233,1,1,1
"34","IN","~~","EN","",0,0.321453566682546,0.050606239694426,6.35205398827434,2.12458717285813e-10,0.222267159488469,0.420639973876622,0.789168639216781,0.789168639216781,0.789168639216781
"35","EN","~~","EN","",0,0.465622136870772,0.0645218628789184,7.21650175762217,5.33351141029925e-13,0.33916160941266,0.592082664328883,1,1,1
"36","Q4_3","~~","Q4_3","psi43",0,0.321196307584272,0.0342775402525048,9.37045964261689,0,0.254013563210741,0.388379051957804,0.321196307584272,0.448157096733258,0.448157096733258
"37","Q4_4","~~","Q4_4","psi44",0,0.292091622653228,0.0249348267831299,11.7142029978266,0,0.243220260197548,0.340962985108907,0.292091622653228,0.407314455567748,0.407314455567748
"38","Q4_5","~~","Q4_5","psi45",0,0.321236894329564,0.0417048021459661,7.70263561508434,1.33226762955019e-14,0.239496984141102,0.402976804518026,0.321236894329564,0.424692045036629,0.424692045036629
"39","Q4_9","~~","Q4_9","psi49",0,0.473533965766483,0.0480486236859875,9.85530759135106,0,0.379360393835229,0.567707537697737,0.473533965766483,0.508563414658796,0.508563414658796
"40","Q4_11","~~","Q4_11","psi411",0,0.368232570237215,0.0378755017219784,9.72218329780006,0,0.293997950965753,0.442467189508678,0.368232570237215,0.407634402101078,0.407634402101078
"41","Q4_15","~~","Q4_15","psi415",0,0.379681645555438,0.0404129127087779,9.39505767108366,0,0.300473792135872,0.458889498975004,0.379681645555438,0.48774964421835,0.48774964421835
"42","Q4_18","~~","Q4_18","psi418",0,0.214938852763495,0.0263761611973047,8.14898161850251,4.44089209850063e-16,0.163242526766355,0.266635178760635,0.214938852763495,0.345150611679492,0.345150611679492
"43","Q5_1","~~","Q5_1","psi51",0,0.499212357852705,0.0452733426168282,11.0266291154554,0,0.410478236863979,0.587946478841431,0.499212357852705,0.552722902018212,0.552722902018212
"44","Q5_2","~~","Q5_2","psi52",0,0.559027933566299,0.0586778890808071,9.52706278844565,0,0.444021384279081,0.674034482853517,0.559027933566299,0.547690648839159,0.547690648839159
"45","Q5_3","~~","Q5_3","psi53",0,0.573532230863874,0.0589645001694394,9.72673776960343,0,0.457963934165367,0.689100527562381,0.573532230863874,0.530505824018648,0.530505824018648
"46","Q5_5","~~","Q5_5","psi55",0,0.658196376356932,0.0684111949296382,9.62117935571649,0,0.524112898155492,0.792279854558372,0.658196376356932,0.58794615131167,0.58794615131167
"47","Q5_6","~~","Q5_6","psi56",0,0.407809877116837,0.0478923300578763,8.5151396188912,0,0.313942635067694,0.501677119165979,0.407809877116837,0.480504668454933,0.480504668454933
"48","Q5_12","~~","Q5_12","psi512",0,0.608925743867262,0.0636291676848716,9.56991527663876,0,0.484214866838654,0.73363662089587,0.608925743867262,0.595426006122134,0.595426006122134
"49","Q6_2","~~","Q6_2","psi62",0,0.46856940193441,0.0560628220981948,8.35793462401347,0,0.358688289750272,0.578450514118548,0.46856940193441,0.568026043635299,0.568026043635299
"50","Q6_5","~~","Q6_5","psi65",0,0.901064676005972,0.0851212872747519,10.5856561249778,0,0.734230018629771,1.06789933338217,0.901064676005972,0.747105509600906,0.747105509600906
"51","Q6_6","~~","Q6_6","psi66",0,0.216707540774282,0.0266513438409863,8.13120501792538,4.44089209850063e-16,0.164471866706356,0.268943214842209,0.216707540774282,0.351077622022365,0.351077622022365
"52","Q6_7","~~","Q6_7","psi67",0,0.209736240192245,0.0302315593273626,6.93765868710625,3.98658883682401e-12,0.150483472714129,0.268989007670362,0.209736240192245,0.273713797913604,0.273713797913604
"53","Q6_8","~~","Q6_8","psi68",0,0.267654707609304,0.0358853303853906,7.4586106560766,8.74855743404623e-14,0.197320752480617,0.33798866273799,0.267654707609304,0.385514562512702,0.385514562512702
"54","Q6_11","~~","Q6_11","psi611",0,0.512092704283317,0.0505750953626783,10.1253927572663,0,0.412967338857788,0.611218069708845,0.512092704283317,0.538241005443711,0.538241005443711
"55","Q7_2","~~","Q7_2","psi72",0,0.320332511628027,0.0385570567076388,8.30801256581816,0,0.244762069131186,0.395902954124867,0.320332511628027,0.407571241215856,0.407571241215856
"56","Q7_4","~~","Q7_4","psi74",0,0.480956274588554,0.0484128203476099,9.9344816338984,0,0.38606889031723,0.575843658859877,0.480956274588554,0.542486693414158,0.542486693414158
"57","Q7_5","~~","Q7_5","psi75",0,0.35145281270114,0.0444369304478396,7.90902542455488,2.66453525910038e-15,0.264358029439863,0.438547595962417,0.35145281270114,0.396414994979841,0.396414994979841
"58","Q7_7","~~","Q7_7","psi77",0,0.68705033947624,0.0614392429073186,11.1825977496607,0,0.566631636140488,0.807469042811992,0.68705033947624,0.604535019009311,0.604535019009311
"59","Q7_8","~~","Q7_8","psi78",0,0.384889576670459,0.0477035336378164,8.06836616324252,6.66133814775094e-16,0.291392368805044,0.478386784535874,0.384889576670459,0.439521248456971,0.439521248456971
"60","Q7_14","~~","Q7_14","psi714",0,0.731107926602852,0.0613909272866168,11.9090549518745,0,0.610783920143566,0.851431933062138,0.731107926602852,0.673190017443626,0.673190017443626
"61","Q4_3","~~","Q4_4","",0,0.11665623685731,0.0238328549396345,4.89476553072574,9.84230033029831e-07,0.0699446995268586,0.163367774187761,0.11665623685731,0.38085805042693,0.38085805042693
"62","Q5_5","~~","Q5_6","",0,0.152037302007257,0.0416164701380117,3.65329643535502,0.000258895050751384,0.0704705193730674,0.233604084641447,0.152037302007257,0.293456369675351,0.293456369675351
"63","Q5_2","~~","Q5_6","",0,-0.0628994709898466,0.0348401836061514,-1.80537139817888,0.0710165837738572,-0.131184976072666,0.00538603409297299,-0.0628994709898466,-0.131735058351446,-0.131735058351446
"64","Q6_2","~~","Q6_8","",0,0.0967840837247931,0.0364608555358248,2.65446551657839,0.00794341579898306,0.0253221200290587,0.168246047420527,0.0967840837247931,0.273293647546946,0.273293647546946
"65","Q7_7","~~","Q7_8","",0,0.135789814745188,0.044660946655577,3.04045984050433,0.00236217191337906,0.0482559677847928,0.223323661705584,0.135789814745188,0.264061351402132,0.264061351402132
"66","rEL",":=","(1**2+lam44**2+lam45**2+lam49**2+lam411**2+lam415**2+lam418**2)/(1**2+lam44**2+lam45**2+lam49**2+lam411**2+lam415**2+lam418**2+psi43+psi44+psi45+psi49+psi411+psi415+psi418)","rEL",0,0.765140117424097,0.0190030396253542,40.2640910353749,0,0.727894844161615,0.802385390686579,0.606836615357277,0.593287086905836,0.593287086905836
"67","rSC",":=","(1+lam52**2+lam53**2+lam55**2+lam56**2+lam512**2)/(1+lam52**2+lam53**2+lam55**2+lam56**2+lam512**2+psi51+psi52+psi53+psi55+psi56+psi512)","rSC",0,0.668116235867215,0.0307582655706291,21.7215185405381,0,0.607831143121864,0.728401328612566,0.498367392076738,0.497186703904422,0.497186703904422
"68","rIN",":=","(1**2+lam65**2+lam66**2+lam67**2+lam68**2+lam611**2)/(1**2+lam65**2+lam66**2+lam67**2+lam68**2+lam611**2+psi62+psi65+psi66+psi67+psi68+psi611)","rIN",0,0.730217490319879,0.0293816337270625,24.8528552599612,0,0.672630546407889,0.787804434231869,0.548407175335496,0.563997078863045,0.563997078863045
"69","rEN",":=","(1**2+lam74**2+lam75**2+lam77**2+lam78**2+lam714**2)/(1**2+lam74**2+lam75**2+lam77**2+lam78**2+lam714**2+psi72+psi74+psi75+psi77+psi78+psi714)","rEN",0,0.662496888983759,0.0274833939124862,24.1053521662321,0,0.608630426742359,0.716363351225159,0.522622109013322,0.521859516003069,0.521859516003069
