"","Diff","SD","ITCc","ITCT","f1","f2","f3","f4","h2","u2"
"Q4_1",2.46036585365854,0.866439789342129,0.717449514352961,0.622299004852844,0.923967813977164,-0.195535877160136,-0.084658852624743,0.0357032252568415,0.584635383989743,0.415364616010257
"Q4_2",2.30487804878049,0.819323572577337,0.762901714920187,0.667224618021941,0.948544446467633,-0.1680669026615,-0.0665530609822052,0.0152886395409943,0.645306546730305,0.354693453269695
"Q4_3",2.53658536585366,0.834209280809592,0.712055940328482,0.630676424421143,0.907330669253651,-0.230327630613523,-0.00295991324106019,0.0116527120221088,0.585755942336794,0.414244057663206
"Q4_4",2.64024390243902,0.815651145087521,0.743448273789851,0.692083148858148,0.775346551681298,-0.198574036175201,0.165918631784552,0.0216910742251011,0.609353571902385,0.390646428097615
"Q4_5",2.32012195121951,0.880275177857552,0.696099052484468,0.661434746088172,0.65648053848608,0.0735611884014365,-0.0855622044892107,0.104855446441528,0.524778617522395,0.475221382477605
"Q4_6",2.8719512195122,0.980890737959648,0.601393209335314,0.641736373885437,0.267839505944178,0.062670756045218,0.133116960580227,0.28387918555179,0.431718210678643,0.568281789321357
"Q4_7",3.58231707317073,0.938111576706,0.45742494989273,0.526186702645867,0.0572391321509937,-0.0261033821539446,0.327064073680378,0.262424967738165,0.322785098208477,0.677214901791523
"Q4_8",2.28658536585366,0.927099610009619,0.745158298447885,0.638863350494505,0.921664771512124,-0.00586430894809995,-0.124181332927197,-0.0940271242122111,0.609377251539131,0.390622748460869
"Q4_9",2.46341463414634,1.00694981883136,0.656600934803182,0.594804801642191,0.72327893036292,-0.0605462927545921,0.124904031063133,-0.140992365022326,0.468287567047603,0.531712432952397
"Q4_10",2.58231707317073,0.789412817481996,0.698400038570996,0.649657546419137,0.687843553169219,-0.123705990703376,0.175127781845359,-0.0221705081791176,0.51730015549375,0.48269984450625
"Q4_11",2.5,0.954628191868164,0.761035408554903,0.714857464432597,0.715576096874883,0.00470816681384566,0.118233422054828,-0.0458466838588716,0.601085366738681,0.398914633261319
"Q4_12",2.19512195121951,1.05144751704823,0.648646380443189,0.634563900103553,0.453133075697615,0.374637784381537,0.0193801069576272,-0.125523106349376,0.491070337353186,0.508929662646814
"Q4_13",1.59451219512195,0.876241141511356,0.606740247229467,0.566344218598333,0.57236530894184,0.350620063355774,-0.182801595322446,-0.101404916134798,0.46062156759807,0.53937843240193
"Q4_14",2.65853658536585,0.894694004993769,0.679053677053221,0.682681617127268,0.492226333894743,0.150843303096514,0.102457989750472,0.0259843806107921,0.497374301158455,0.502625698841545
"Q4_15",2.375,0.916840406109607,0.759162766171373,0.708345970081218,0.745611907839808,0.0522267961827068,-0.0675045032891922,0.0650035907178054,0.610114025064521,0.389885974935479
"Q4_16",2.45731707317073,0.940756477155519,0.687793999599088,0.644663109365983,0.62320995240714,0.097756313815596,-0.212877155144912,0.232458166424341,0.522644311561872,0.477355688438128
"Q4_17",2.19817073170732,0.964379191285343,0.68013394135546,0.613597152485568,0.720596991720456,0.0877271181459438,-0.00299190041685597,-0.128270066016301,0.495633568950167,0.504366431049833
"Q4_18",2.35975609756098,0.823115548622868,0.821956671346421,0.725825927924685,0.984181825393297,-0.12260156180049,-0.106133850858393,0.0452275420614987,0.740214730458104,0.259785269541896
"Q4_19",2.54268292682927,0.969571359348911,0.762007644068003,0.718958854130198,0.720906231983962,-0.0186114298870456,0.114309390763623,-0.0178519609589914,0.607530633314265,0.392469366685735
"Q5_1",2.63719512195122,0.95114002016411,0.636328184305297,0.635049774296984,0.337351065919784,-0.021566614734737,0.084409623653204,0.340257750350102,0.446286576101712,0.553713423898287
"Q5_2",2.95426829268293,1.0350346422577,0.680142965913461,0.624431568395987,0.0157071139527784,0.0900202046203734,0.0275521412915459,0.63272789382805,0.520427341369235,0.479572658630765
"Q5_3",2.66158536585366,1.04550293065657,0.713105851536773,0.630951871783951,0.155555578797019,0.113822881301394,-0.154441928568991,0.655565515841513,0.54484510621128,0.45515489378872
"Q5_4",3.5,1.10600252721866,0.662578284829892,0.543115301283823,-0.0863006991281402,-0.177150727393676,0.0713637371112225,0.877840435659335,0.612120299666458,0.387879700333542
"Q5_5",3.53048780487805,1.0341199363054,0.607104969344207,0.47112389586739,-0.077138817166997,-0.259533082943973,0.0787510671392997,0.856288188639223,0.546948622933985,0.453051377066015
"Q5_6",2.92682926829268,0.905713941850211,0.767678625508024,0.671457707444092,0.0745494119935644,-0.0257110036401853,0.00810316132884312,0.767630096534703,0.653716453759745,0.346283546240255
"Q5_7",2.70426829268293,0.942236951165374,0.604901042652209,0.618784346525287,-0.0441196666230033,0.364667458338093,0.111484532951934,0.322500034602742,0.44390446309463,0.55609553690537
"Q5_8",2.90548780487805,1.0551607874218,0.747955875683835,0.649083880295719,-0.0677479389593922,0.0741462945320807,0.077291903236153,0.723124446105113,0.608144952838715,0.391855047161285
"Q5_9",2.60975609756098,0.99547720409715,0.726155298562438,0.713612792517603,0.171746855005602,0.25026411335699,-0.0466503406269694,0.487768449613567,0.592951763411645,0.407048236588355
"Q5_10",2.6219512195122,0.83706555890609,0.607403386527819,0.593923637242157,0.158827439827441,0.139286678122997,0.0550590792403172,0.359468202310137,0.392680470397459,0.607319529602541
"Q5_11",2.70731707317073,0.951262542703664,0.595699847470638,0.658403727909748,0.232569534459002,0.109977366048587,0.222744706904997,0.197894357652943,0.441964387576409,0.558035612423591
"Q5_12",2.88109756097561,0.952002243588908,0.646293613389989,0.643638565840463,0.0167992846011197,0.123177420006696,0.237154519536755,0.396149186767252,0.470139304361089,0.529860695638911
"Q6_1",1.70121951219512,0.843611560748493,0.659926637755917,0.507554290776325,-0.0742703579143419,0.899648001134281,-0.184631083386559,-0.00856341342135974,0.558467066212055,0.441532933787945
"Q6_2",2.07926829268293,0.911930815133999,0.724536497417515,0.562595541129802,-0.201896109842794,0.981515814638501,-0.127816647565237,0.059800042992804,0.663781219144376,0.336218780855624
"Q6_3",1.92987804878049,0.924334945848126,0.707691215413235,0.541884443900334,-0.210957163180985,0.960580822054664,-0.135807576956018,0.0747239170422732,0.629650981070468,0.370349018929532
"Q6_4",2.07621951219512,0.927154919765312,0.654188726152655,0.489795182005547,-0.176824026929921,0.915643608185424,-0.14467400661323,0.0299737795327916,0.549977230415464,0.450022769584536
"Q6_5",2.35060975609756,1.03261770333948,0.486889463189669,0.471698961056906,0.0486653327074243,0.361519018922848,0.197613359865624,-0.0539921272017621,0.26162928345076,0.73837071654924
"Q6_6",1.83231707317073,0.819818431125713,0.751182892435949,0.626372586750413,0.0020876860552853,0.848816565809897,0.00940726755487628,-0.098134414630141,0.641539787136383,0.358460212863617
"Q6_7",2.16158536585366,0.875133848407901,0.789612893666872,0.665657031044625,0.0764733143281501,0.823873424722731,0.047963011085203,-0.149449830899326,0.681590624057135,0.318409375942865
"Q6_8",2.11280487804878,0.903317398629775,0.770454632098338,0.613251493533251,-0.046121463825629,0.919231559611735,0.0519916945117164,-0.176316647164066,0.681010109165254,0.318989890834746
"Q6_9",2.76829268292683,1.2221080747997,0.455272401629065,0.505071851028254,0.0843234251144497,0.231198476947628,0.487976258926441,-0.229387404156604,0.335172733123733,0.664827266876267
"Q6_10",2.88719512195122,0.913417180986035,0.540844633186651,0.57485589912187,0.0525135871995881,0.246974478781454,0.351542274369155,0.0198269724152034,0.357684801454318,0.642315198545683
"Q6_11",2.8140243902439,0.969970345088606,0.630347864279901,0.699259379092717,-0.0159794719071495,0.338265511725835,0.389494521727008,0.118862023550198,0.53846370955056,0.46153629044944
"Q7_1",2.46341463414634,0.901173166078081,0.703324569589626,0.746148725973966,0.111705341539264,0.306222615715746,0.290253544011312,0.176198916419159,0.587969689229229,0.412030310770771
"Q7_2",2.69207317073171,0.856526286247737,0.694268533138215,0.679082003432259,0.0280115190422812,0.132978435312702,0.51485204737857,0.123776457049312,0.522052500561593,0.477947499438407
"Q7_3",3.55792682926829,1.01200650032951,0.65578471445264,0.554847377804285,-0.208333555698911,-0.111638760351103,0.872741332763616,0.103804765875982,0.567316036621267,0.432683963378733
"Q7_4",2.84146341463415,0.979540080496771,0.681183928341899,0.610143503316153,-0.0576123921137239,0.119389502797642,0.644054316764301,0.0179008124092382,0.484369418757663,0.515630581242337
"Q7_5",2.875,0.94799805158576,0.770217790748872,0.705418137994586,0.113279939486768,0.03421254445705,0.75384733715973,-0.0898292684546256,0.63746124845903,0.36253875154097
"Q7_6",2.93292682926829,0.919587047069127,0.698848273171653,0.664305927083658,0.0416746500672071,0.104291100548619,0.672227390844766,-0.0513271409100574,0.543705548599451,0.456294451400549
"Q7_7",3.65243902439024,1.01423816150763,0.683132252010373,0.578623757790151,-0.0396000194407328,-0.279892889870841,0.89986808892385,0.087007535268303,0.621616231594226,0.378383768405774
"Q7_8",2.8140243902439,0.87726201771269,0.685143483758833,0.618233106765483,0.103409570769965,-0.0374450372575742,0.709189139106994,-0.0654034466353763,0.513345666369,0.486654333631
"Q7_9",2.56707317073171,0.993132982038123,0.66159865925238,0.694756222873156,0.2840344253362,0.171480615286066,0.286886249781008,0.0627879125454726,0.502681591580027,0.497318408419973
"Q7_10",2.28048780487805,0.94528464711483,0.630567912473816,0.700599778733651,0.362758135946942,0.281707870193548,0.170357608850847,-0.00383675162620201,0.528494868313627,0.471505131686373
"Q7_11",2.74390243902439,0.83955683095901,0.703912176039789,0.65659284460572,0.215602594552101,-0.0179981604388789,0.585902299528564,-0.0325646595932143,0.514328998895946,0.485671001104054
"Q7_12",3.39024390243902,1.02275155117786,0.611142573533957,0.534535496423931,-0.0378392939386672,-0.0493297950990213,0.724988270379074,-0.0262557577998287,0.426318588226908,0.573681411773092
"Q7_13",3.57926829268293,0.989144480051649,0.369642991028564,0.272816268427737,-0.156174397299337,-0.118776267286882,0.707636063682305,-0.128273243932206,0.242063375106993,0.757936624893007
"Q7_14",3.60975609756098,0.986218150321656,0.53549653179274,0.430305746914222,-0.1895701008188,-0.239245466596757,0.760318699253435,0.176646015132991,0.427675217110977,0.572324782889023
"Q7_15",2.50914634146341,0.905255739586252,0.608852294728147,0.647876767681419,0.280217489939893,0.194569044458638,0.228171631647283,0.0493743183189185,0.43903865738238,0.56096134261762
