"ID"	"Progress"	"Duration (in seconds)"	"Finished"	"class"	"teach"	"Q4_1"	"Q4_2"	"Q4_3"	"Q4_4"	"Q4_5"	"Q4_6"	"Q4_7"	"Q4_8"	"Q4_9"	"Q4_10"	"Q4_11"	"Q4_12"	"Q4_13"	"Q4_14"	"Q4_15"	"Q4_16"	"Q4_17"	"Q4_18"	"Q4_19"	"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q5_7"	"Q5_8"	"Q5_9"	"Q5_10"	"Q5_11"	"Q5_12"	"Q6_1"	"Q6_2"	"Q6_3"	"Q6_4"	"Q6_5"	"Q6_6"	"Q6_7"	"Q6_8"	"Q6_9"	"Q6_10"	"Q6_11"	"Q7_1"	"Q7_2"	"Q7_3"	"Q7_4"	"Q7_5"	"Q7_6"	"Q7_7"	"Q7_8"	"Q7_9"	"Q7_10"	"Q7_11"	"Q7_12"	"Q7_13"	"Q7_14"	"Q7_15"	"version"	"random.split"
375	100	518	1	1	1	3	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	2	1	2	1	2	4	4	3	2	3	2	2	1	2	1	1	1	1	2	1	1	1	2	3	2	2	2	2	1	2	2	2	2	2	2	2	3	2	5	2	1.5	0
376	100	287	1	1	1	3	2	2	3	1	2	4	2	1	2	4	2	1	2	1	1	2	3	2	3	1	1	2	4	3	2	4	2	3	3	3	1	1	1	2	1	1	1	2	1	3	4	1	2	3	3	3	1	3	3	2	1	4	5	5	5	1	1.5	0
378	100	600	1	1	1	4	3	4	4	5	3	5	5	4	5	5	2	1	3	3	2	2	3	4	4	3	2	5	5	3	4	4	5	3	4	3	1	2	3	2	4	4	3	4	5	3	3	4	3	4	3	5	3	4	3	3	5	3	3	4	3	5	1.5	0
382	100	270	1	1	1	1	2	2	3	3	4	4	4	3	2	4	2	1	2	3	3	3	2	4	4	4	4	4	4	3	4	4	5	2	3	4	1	1	1	1	3	1	1	1	3	4	4	4	4	4	2	4	3	4	4	5	5	4	4	5	5	4	1.5	0
383	100	363	1	1	2	3	3	2	3	2	3	4	3	1	2	3	1	1	3	2	3	3	2	2	3	3	2	4	4	3	2	2	2	3	1	1	1	1	1	2	1	3	2	3	3	3	3	1	1	4	2	3	3	3	3	3	2	3	3	3	4	2	1.5	0
385	100	284	1	1	1	3	3	2	2	3	3	3	4	4	3	2	1	1	3	2	2	3	4	4	4	3	4	2	2	3	1	2	2	3	4	4	1	2	1	3	1	1	3	3	4	5	2	2	2	4	2	2	2	4	3	4	3	4	4	4	4	3	1.5	0
386	100	251	1	1	1	3	3	2	2	3	3	3	2	3	3	3	2	2	3	3	2	2	2	2	3	3	2	3	3	2	3	3	3	3	2	3	3	3	2	3	3	2	3	3	2	3	3	3	3	2	3	3	3	3	3	3	3	3	2	4	4	3	1.5	0
388	100	312	1	1	1	3	3	4	3	3	4	4	2	2	2	3	1	1	3	2	2	2	3	3	3	3	3	3	4	3	3	3	4	3	4	3	1	2	1	1	3	1	2	1	2	4	3	3	3	3	4	3	3	3	4	4	2	3	3	4	4	3	1.5	0
390	100	378	1	1	2	2	2	2	2	3	3	4	3	3	2	3	1	1	2	3	3	2	2	3	2	3	3	4	4	3	1	4	3	2	1	3	1	2	2	2	2	1	2	2	2	2	2	2	2	4	3	2	3	4	2	1	2	2	3	2	3	2	1.5	0
391	100	270	1	1	1	2	2	3	2	2	1	4	1	1	2	2	1	1	3	2	3	1	2	2	2	2	1	4	3	3	2	2	3	1	2	3	1	3	1	3	2	2	2	3	2	2	2	1	3	2	2	2	2	3	3	1	1	2	2	2	3	2	1.5	0
392	100	277	1	2	2	4	2	2	2	2	3	3	3	3	2	3	4	1	3	3	3	3	3	3	3	4	3	4	3	4	3	3	2	3	3	3	2	3	2	1	4	2	3	3	4	3	3	3	3	4	3	3	3	4	3	3	2	3	3	4	3	3	1.5	0
393	100	287	1	1	1	2	2	3	3	2	4	4	3	4	3	3	2	2	3	2	3	2	2	2	2	2	2	2	2	3	2	2	2	2	3	4	1	1	1	1	3	2	2	2	2	2	3	2	1	2	2	2	2	3	3	3	3	2	4	4	3	3	1.5	0
394	100	635	1	1	1	2	1	2	3	2	3	4	3	2	2	3	3	1	3	2	3	3	3	3	3	3	2	4	5	3	3	5	3	3	4	3	2	3	2	2	2	2	2	3	3	4	3	2	2	3	3	3	2	2	3	4	2	3	4	5	4	4	1.5	0
395	100	299	1	1	2	2	2	3	3	2	3	3	3	3	2	2	2	2	3	3	2	2	2	3	2	2	3	4	3	3	3	2	3	3	2	3	1	2	1	2	2	2	2	2	3	2	3	2	3	4	3	3	3	3	3	3	2	3	2	3	3	2	1.5	0
400	100	476	1	1	1	2	3	2	3	2	3	4	2	3	2	3	2	1	3	2	2	1	3	2	3	2	2	2	2	2	2	1	1	3	2	3	1	1	1	1	1	1	1	1	2	2	2	2	1	4	3	3	4	4	3	2	2	1	2	4	4	2	1.5	0
402	100	378	1	1	2	1	4	1	1	5	5	3	2	1	3	2	5	1	2	2	1	2	4	5	2	5	4	5	4	3	1	5	4	3	2	2	1	1	1	1	1	2	1	1	1	3	5	2	3	5	4	4	2	5	3	1	1	1	1	3	5	3	1.5	0
405	100	500	1	1	2	2	3	3	3	3	4	4	2	2	3	2	5	2	4	4	4	4	3	2	5	4	4	5	5	4	2	4	3	3	4	5	2	2	2	1	3	2	2	2	5	4	3	3	3	4	4	5	4	5	3	3	3	3	5	5	5	3	1.5	0
406	100	467	1	1	1	2	2	4	4	3	4	4	2	2	3	2	1	1	1	2	4	3	3	2	2	4	4	5	5	5	5	4	3	3	3	4	2	3	3	2	1	1	2	1	1	1	2	3	2	4	4	4	2	4	4	4	4	3	2	4	2	3	1.5	0
407	100	895	1	1	1	3	3	4	4	4	2	4	2	2	3	3	2	1	3	3	3	3	4	2	3	2	2	3	4	3	3	2	3	4	4	2	2	1	2	2	2	3	3	4	4	4	4	4	2	4	4	4	4	4	3	2	3	4	4	4	4	4	1.5	0
408	100	778	1	1	1	3	3	3	3	3	4	4	3	3	3	4	3	2	3	3	3	2	4	3	3	3	2	4	5	5	5	5	5	4	2	4	2	4	4	4	4	4	4	4	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	3	4	4	1.5	0
412	100	961	1	1	1	1	1	1	2	2	2	4	1	1	1	1	2	2	4	1	1	1	2	1	3	4	1	2	1	2	1	1	1	2	2	2	1	1	1	1	3	2	2	1	5	4	4	2	2	4	3	1	3	4	2	1	2	1	4	4	4	3	1.5	0
414	100	933	1	2	1	2	1	2	2	2	1	2	1	2	2	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	2	2	1	2	4	2	2	4	4	2	2	1	2	3	3	4	2	1.5	0
420	43	127	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1.5	0
421	43	1492	0	1	1	3	2	3	3	2	3	4	2	2	3	3	2	1	3	2	3	2	2	3	3	3	3	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1.5	0
422	100	220	1	1	2	2	3	3	3	2	3	4	2	2	3	2	1	1	3	2	2	2	2	3	2	3	2	3	3	3	3	3	2	3	3	2	2	3	2	1	2	1	2	1	1	1	3	2	2	4	4	4	3	4	4	2	2	2	3	3	4	1	1.5	0
423	100	107	1	1	2	4	2	3	4	2	3	4	3	2	3	2	4	3	3	3	2	3	4	2	3	2	3	4	4	3	2	2	3	3	2	3	3	2	3	3	3	2	4	3	3	3	2	2	3	2	2	3	3	3	2	2	3	3	3	3	3	2	1.5	0
424	100	295	1	1	1	2	1	1	1	1	3	4	2	1	2	3	1	1	2	1	1	1	1	1	2	3	4	5	2	2	2	3	2	3	2	5	1	1	1	1	1	1	1	1	3	3	3	1	1	3	3	3	1	2	1	2	1	1	4	5	4	3	1.5	0
426	100	273	1	1	1	4	2	3	5	3	3	4	4	3	3	3	3	4	3	2	4	4	3	4	4	3	3	4	3	4	4	4	4	3	3	4	3	4	4	2	5	3	5	4	4	4	4	3	4	4	5	4	4	4	3	4	4	4	5	4	4	4	1.5	0
427	100	360	1	1	1	5	5	4	5	4	5	4	5	3	5	3	3	1	5	4	3	2	3	3	3	2	2	5	5	2	2	2	4	1	4	3	2	2	1	1	2	2	2	2	5	4	5	3	3	4	5	5	3	5	4	4	2	2	5	5	5	4	1.5	0
428	100	222	1	1	2	3	3	3	3	2	4	4	3	3	3	2	1	1	2	2	2	1	2	3	3	4	2	2	2	2	2	2	1	2	2	5	1	1	1	1	1	1	1	1	1	2	2	3	2	3	4	3	4	4	4	3	3	3	4	4	4	3	1.5	0
429	100	154	1	1	1	3	3	3	3	3	2	3	3	3	3	3	2	2	2	2	2	2	3	3	3	3	2	3	3	2	3	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	1.5	0
433	100	221	1	1	2	2	2	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1.5	0
435	100	555	1	1	1	2	4	3	3	4	4	4	4	4	3	4	5	2	4	3	3	4	2	4	2	4	5	5	4	5	5	3	3	4	4	3	2	3	4	4	5	4	4	2	5	5	4	2	2	4	2	4	4	5	4	2	3	2	4	5	4	2	1.5	0
437	100	361	1	1	2	3	3	3	3	3	3	4	4	4	3	3	2	1	4	4	2	3	3	3	3	2	3	5	3	3	3	3	4	2	3	3	2	2	2	2	4	4	2	3	3	4	4	3	3	4	5	4	3	4	4	3	4	5	4	2	2	4	1.5	0
439	100	212	1	1	1	4	5	5	5	4	4	4	5	5	4	4	4	5	5	4	4	5	5	5	4	3	4	4	4	4	5	3	3	3	4	4	2	4	2	4	4	5	5	5	4	4	4	4	5	5	5	4	5	4	5	5	5	5	5	4	4	5	1.5	0
440	100	306	1	1	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	2	1	2	2	1	1	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	3	3	2	2	2	2	3	3	3	2	1.5	0
442	100	472	1	1	1	4	2	4	4	3	4	4	4	5	4	4	3	3	4	4	4	4	4	5	4	5	4	4	3	4	2	4	4	3	3	4	4	4	3	3	2	3	2	4	4	4	5	3	2	4	4	5	4	5	3	3	5	4	5	5	5	4	1.5	0
445	100	371	1	1	2	3	2	3	3	3	4	4	2	2	3	3	2	2	3	2	4	3	3	2	2	4	4	3	4	3	3	3	3	2	3	3	2	3	2	4	3	2	2	2	2	3	4	3	3	4	2	3	4	4	2	3	3	2	3	2	4	3	1.5	0
446	100	301	1	1	2	2	2	2	3	2	2	4	2	2	2	1	2	1	2	2	2	2	2	2	1	4	2	2	4	4	2	2	2	2	1	4	1	1	2	2	2	1	2	1	2	4	4	2	2	4	4	3	2	4	2	3	2	2	3	2	4	3	1.5	0
447	100	255	1	1	1	4	4	5	3	4	4	4	3	4	3	5	4	3	4	4	3	4	4	5	4	5	4	3	2	3	4	4	4	3	4	4	3	4	3	4	3	4	4	4	5	5	4	4	3	4	2	4	4	4	3	4	5	4	3	4	5	4	1.5	0
449	100	219	1	1	1	1	2	1	2	4	5	5	1	1	1	2	5	5	3	1	1	1	2	2	2	4	4	5	5	4	5	5	5	3	4	5	5	5	5	3	5	5	3	4	2	5	5	5	5	5	4	2	3	4	4	4	4	2	4	5	4	4	1.5	0
