"ID"	"Progress"	"Duration (in seconds)"	"Finished"	"class"	"teach"	"Q4_1"	"Q4_2"	"Q4_3"	"Q4_4"	"Q4_5"	"Q4_6"	"Q4_7"	"Q4_8"	"Q4_9"	"Q4_10"	"Q4_11"	"Q4_12"	"Q4_13"	"Q4_14"	"Q4_15"	"Q4_16"	"Q4_17"	"Q4_18"	"Q4_19"	"Q5_1"	"Q5_2"	"Q5_3"	"Q5_4"	"Q5_5"	"Q5_6"	"Q5_7"	"Q5_8"	"Q5_9"	"Q5_10"	"Q5_11"	"Q5_12"	"Q6_1"	"Q6_2"	"Q6_3"	"Q6_4"	"Q6_5"	"Q6_6"	"Q6_7"	"Q6_8"	"Q6_9"	"Q6_10"	"Q6_11"	"Q7_1"	"Q7_2"	"Q7_3"	"Q7_4"	"Q7_5"	"Q7_6"	"Q7_7"	"Q7_8"	"Q7_9"	"Q7_10"	"Q7_11"	"Q7_12"	"Q7_13"	"Q7_14"	"Q7_15"	"version"	"random.split"
2	71	135	0	1	1	3	3	3	3	2	1	4	2	3	2	2	1	1	1	1	2	1	2	2	2	2	3	1	4	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1.4	1
3	43	10	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1.4	1
5	57	159	0	1	1	3	2	3	3	3	3	4	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1.4	1
6	43	667	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1.4	1
8	100	245	1	1	1	2	3	3	2	2	4	4	2	1	2	2	1	1	3	2	3	1	3	1	3	3	1	2	2	1	4	1	2	2	2	2	1	2	2	1	4	1	2	2	1	5	1	1	1	2	2	1	4	4	1	3	1	2	2	3	2	2	1	1
9	100	516	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	100	650	1	1	2	2	2	3	2	1	3	4	1	1	2	1	1	1	3	2	2	1	2	2	2	2	1	4	4	4	1	4	2	2	2	4	1	1	1	1	3	1	1	1	1	1	3	1	2	4	3	2	3	4	2	2	1	3	3	2	4	2	1	1
14	100	561	1	2	2	2	2	2	3	2	2	4	2	3	2	3	2	2	2	3	3	3	2	3	2	4	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	3	4	3	4	3	4	4	1	1	4	4	3	2	2	1	1
15	100	170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16	100	602	1	2	2	3	3	2	3	3	2	3	3	3	3	3	2	2	3	3	1	1	3	4	3	1	3	3	3	3	1	3	3	3	3	3	1	2	2	2	1	1	3	2	2	3	3	2	4	4	2	3	3	3	3	3	3	3	3	2	5	2	1	1
19	100	408	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	4	1	1	2	3	3	2	4	2	4	2	1	1	2	4	3	2	1	1	1
21	100	217	1	1	1	2	2	3	2	2	2	2	2	4	3	2	3	1	2	2	3	1	2	3	2	1	2	1	2	1	2	2	4	3	3	1	1	2	2	2	1	1	1	2	2	3	3	2	3	4	2	2	3	3	2	2	2	4	3	3	3	2	1	1
24	100	226	1	1	1	2	3	3	2	2	2	4	3	2	1	1	1	1	2	2	2	1	3	2	2	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	3	2	2	2	1	3	1	2	1	1	1	2	2	2	2	2	2	1	1
26	100	265	1	1	2	2	1	3	2	2	3	4	2	2	2	1	1	1	3	2	3	1	3	2	3	3	4	4	3	3	1	2	2	1	3	3	1	1	1	1	4	1	1	1	2	3	1	2	2	4	3	2	2	4	2	1	1	2	3	3	3	1	1	1
29	100	543	1	1	1	3	3	4	3	3	3	3	2	4	3	3	2	2	3	3	3	2	3	2	3	4	4	4	4	3	3	4	4	4	4	4	2	2	3	3	3	3	3	3	4	2	3	4	4	4	3	3	4	5	3	3	4	3	4	4	4	4	1	1
31	100	333	1	1	1	3	2	3	3	2	4	4	2	2	3	1	4	3	5	3	1	1	3	3	3	4	4	4	4	4	3	4	4	2	5	2	1	3	2	3	1	2	2	1	5	2	2	2	2	4	3	2	4	5	2	1	1	2	4	5	5	2	1	1
32	100	355	1	1	1	1	1	1	1	1	2	3	1	3	1	1	1	1	1	1	1	3	1	1	1	2	1	4	4	3	2	1	1	1	2	3	1	1	1	3	1	1	1	1	1	3	1	1	3	3	2	1	3	3	3	1	1	3	3	4	3	1	1	1
33	100	605	1	1	1	3	2	3	3	2	2	4	2	3	3	3	4	1	4	2	2	2	3	2	2	4	3	4	4	4	3	4	3	3	4	4	2	2	1	2	4	2	2	2	4	4	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1	1
34	100	332	1	1	1	3	3	3	3	2	3	3	3	2	3	3	3	2	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	4	3	4	4	4	4	2	2	3	4	4	4	4	4	3	5	3	3	3	5	3	3	3	3	5	5	5	3	1	1
39	100	180	1	1	2	4	1	1	1	1	2	2	2	2	1	2	1	1	3	3	3	3	2	1	1	3	3	2	3	3	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	3	1	1	1	1	1	1	1	1	1
41	100	208	1	1	2	2	2	3	3	2	4	5	2	2	3	3	1	1	2	2	4	2	2	2	4	4	2	4	4	4	3	2	3	3	3	3	1	2	4	2	2	1	2	2	2	2	3	2	3	4	4	3	4	5	3	3	3	3	3	3	3	3	1	1
43	100	232	1	1	2	2	2	3	2	2	3	5	2	2	3	1	1	1	1	1	1	1	2	2	3	2	2	5	5	3	3	3	4	4	2	2	1	4	1	3	1	1	1	4	2	3	3	2	2	3	2	2	2	2	2	3	1	2	5	3	3	3	1	1
46	100	394	1	1	2	2	2	2	2	2	2	2	2	2	3	4	3	1	3	2	2	2	2	3	2	2	4	2	2	2	2	2	2	2	2	2	1	3	1	2	4	1	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
47	100	343	1	1	2	1	1	1	1	1	1	4	1	2	1	1	1	1	2	2	1	1	1	2	3	1	4	4	4	3	2	4	2	3	2	3	1	1	3	2	1	1	3	1	1	3	2	1	3	3	2	3	3	3	3	1	1	3	4	2	5	1	1	1
49	100	1079	1	1	2	1	2	1	1	1	2	2	1	2	3	1	1	1	2	2	1	1	2	2	2	1	1	4	2	2	4	2	4	2	1	4	1	2	3	1	3	1	3	1	1	3	2	1	1	1	2	3	1	1	1	1	1	1	1	2	1	2	1	1
52	100	330	1	1	1	2	2	2	2	2	2	4	2	2	2	1	1	1	2	1	2	1	2	1	1	2	1	4	4	2	1	4	1	3	2	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	3	1	1	1	3	4	4	1	1	1
53	100	346	1	1	2	1	1	2	1	3	1	3	1	1	3	1	1	1	3	2	2	1	2	2	2	4	4	5	4	3	3	4	2	3	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	4	2	2	3	4	2	1	1	2	4	3	4	3	1	1
54	100	97	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	1	2	1	2	1	1	1
55	100	245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	100	260	1	1	1	1	1	1	2	2	3	4	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	3	3	3	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	2	2	1	1
58	100	446	1	1	1	2	1	2	3	3	4	5	3	3	3	2	3	1	2	3	1	1	1	1	3	5	5	5	5	3	2	4	4	2	2	2	2	2	2	3	4	2	2	2	4	4	5	3	4	5	2	2	2	3	2	2	2	2	4	4	5	1	1	1
59	100	152	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	3	2	2	1	1	1	4	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	5	1	1	1
60	100	181	1	1	2	2	3	3	3	3	3	3	3	3	2	3	2	2	2	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	3	2	3	2	3	2	3	2	3	3	3	2	2	1	1
62	100	235	1	1	2	5	5	5	5	5	5	5	5	5	5	5	4	1	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	3	3	3	3	3	5	3	2	2	5	5	3	5	3	5	5	5	5	5	5	5	5	5	5	5	1	1
65	100	444	1	1	2	1	1	2	2	1	3	3	3	2	2	1	1	1	1	1	2	1	2	3	3	4	3	3	4	2	2	3	3	3	2	3	1	1	1	1	2	2	2	3	1	4	3	3	3	4	3	2	3	4	3	2	1	3	3	3	3	2	1	1
69	100	504	1	1	2	2	2	3	3	2	3	2	2	3	2	2	2	2	2	3	3	3	3	3	2	2	2	3	3	2	3	2	3	3	3	3	1	1	1	1	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	3	1	1
71	100	323	1	2	2	3	3	3	2	3	2	4	2	3	3	2	4	1	2	3	3	2	3	2	3	2	3	3	3	3	3	3	2	3	2	3	2	1	2	1	3	2	3	2	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	4	3	1	1
77	100	390	1	1	2	1	2	2	1	2	4	4	3	3	3	2	1	1	2	3	2	3	2	3	4	4	3	4	4	4	3	4	3	3	2	3	1	1	1	2	2	1	1	1	2	3	4	1	3	4	2	3	4	4	3	2	1	3	4	2	4	1	1	1
80	100	241	1	1	2	3	3	3	3	4	4	5	3	5	4	5	4	2	3	4	3	2	4	3	4	5	5	5	5	5	3	5	4	3	4	5	5	5	4	4	5	4	5	5	5	5	4	3	4	5	5	5	3	3	4	4	4	5	2	2	4	4	1	1
85	100	405	1	1	1	2	2	3	3	2	2	4	1	3	3	2	2	1	4	3	3	3	2	2	2	5	5	5	4	3	2	4	4	1	4	3	1	2	1	4	2	1	1	1	5	5	4	2	3	5	3	2	2	5	2	4	1	2	5	5	5	1	1	1
87	100	539	1	1	2	3	2	3	3	3	2	3	3	2	3	2	1	1	3	3	3	3	2	2	2	2	3	4	4	2	3	3	3	4	2	4	1	1	1	2	1	1	2	2	2	3	2	2	2	4	4	3	3	4	3	1	2	3	4	3	4	2	1	1
88	100	243	1	1	2	3	3	3	3	3	3	4	3	2	3	3	2	1	3	3	2	4	3	3	2	3	2	4	4	2	2	2	2	2	3	2	2	3	2	3	2	2	2	2	2	3	3	3	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
90	100	337	1	1	1	2	2	3	3	3	2	4	2	2	3	2	2	2	3	2	2	3	3	2	1	2	2	3	4	3	3	3	2	3	3	3	1	1	1	2	1	2	3	2	3	3	3	2	2	4	1	2	3	4	3	2	2	3	4	4	4	2	1	1
91	100	268	1	1	2	2	2	3	2	2	3	4	2	3	3	2	4	4	2	2	2	3	3	3	1	1	1	2	2	2	4	2	2	3	4	3	2	4	3	3	3	2	3	2	3	3	3	2	2	5	2	2	4	5	3	3	2	2	5	5	5	3	1	1
93	100	257	1	1	2	3	3	2	3	2	3	4	3	2	3	1	1	1	3	2	2	2	3	3	1	2	2	4	4	3	2	1	2	3	2	1	1	1	1	1	1	1	2	1	1	3	2	3	3	4	4	3	3	2	3	1	1	3	2	5	2	1	1	1
94	100	149	1	1	1	3	3	3	3	3	3	4	3	4	3	3	4	3	3	3	3	3	3	4	4	4	4	5	5	5	5	5	5	3	4	4	4	4	4	3	5	2	4	3	4	5	4	3	4	4	4	4	4	5	4	4	3	4	5	5	5	4	1	1
96	100	242	1	1	1	3	2	3	3	3	3	4	1	1	2	2	3	1	2	2	2	1	2	1	2	4	4	5	4	4	3	4	3	3	3	3	1	3	2	2	3	1	1	2	5	2	3	3	3	3	3	3	3	4	3	3	2	3	2	4	3	1	1	1
98	100	421	1	1	2	2	2	2	1	2	1	3	1	2	2	2	1	1	1	1	1	1	2	4	2	3	2	4	4	4	3	4	2	3	1	3	1	2	1	1	2	1	2	2	5	2	3	2	3	4	4	3	4	4	3	1	2	3	4	4	5	2	1	1
103	100	503	1	1	2	3	2	2	3	2	4	4	2	4	3	3	4	1	4	2	2	2	2	3	3	4	3	4	4	4	4	3	4	3	3	4	1	1	2	2	4	2	2	2	4	3	3	3	3	4	3	3	4	4	4	3	2	3	5	4	4	2	1	1
104	100	279	1	1	1	2	2	2	2	2	2	3	2	3	2	1	1	1	2	2	1	1	2	2	2	2	1	4	3	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	3	2	1	3	3	1	2	2	2	4	4	4	1	1	1
106	100	580	1	1	1	3	3	3	3	3	3	4	3	3	3	3	2	2	3	3	3	3	3	3	3	4	4	4	4	4	3	4	3	3	3	4	3	4	3	3	3	2	3	3	3	3	3	3	3	4	4	3	3	4	3	3	3	3	4	4	4	3	1	1
108	100	322	1	1	1	3	3	3	3	3	3	3	3	4	3	3	3	2	3	2	3	3	3	3	3	4	3	4	3	3	2	3	3	3	3	3	2	2	2	1	4	1	2	1	4	4	3	3	3	4	2	3	3	4	3	3	3	3	4	5	3	3	1	1
109	100	262	1	1	1	3	2	2	2	2	2	3	1	3	3	3	2	1	2	1	1	1	2	2	3	3	2	4	4	4	3	4	3	3	3	4	1	2	1	1	1	1	2	2	3	3	3	3	4	5	4	4	4	5	4	3	3	3	5	5	5	3	1	1
110	100	184	1	1	1	2	2	3	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	3	2	3	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	2	5	3	1	1	1
111	100	239	1	1	1	3	2	3	3	2	3	3	2	3	3	2	2	2	2	1	2	3	3	3	2	3	2	3	3	2	2	3	3	2	3	2	2	2	2	2	2	2	2	2	1	2	3	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1
116	100	349	1	1	1	3	3	3	3	3	4	5	3	3	3	3	4	2	3	4	3	3	3	3	3	3	3	4	4	4	3	4	3	3	3	3	3	3	3	3	3	2	3	3	2	3	2	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	1	1
118	100	302	1	1	1	3	2	3	3	2	3	4	3	3	3	2	2	2	4	3	3	3	2	3	2	4	2	4	4	3	2	3	2	3	3	3	2	3	3	4	2	3	3	3	2	2	3	2	3	3	3	2	3	3	2	3	2	3	3	4	3	3	1	1
119	100	258	1	1	1	3	2	3	3	3	3	2	3	2	3	3	1	1	3	3	3	2	3	3	3	5	4	4	4	3	3	3	3	3	3	3	1	1	1	2	3	2	3	3	4	4	4	3	3	4	2	3	3	5	4	3	3	3	4	5	5	3	1	1
123	100	1501	1	1	1	3	3	3	3	3	3	3	3	3	3	3	4	2	3	3	2	2	3	3	4	2	3	3	3	3	2	3	3	3	3	3	2	2	2	3	3	2	2	2	2	3	3	3	3	4	3	3	4	4	4	3	3	3	3	3	3	3	1	1
126	100	301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	3	3	4	2	1	1	1	4	4	1	1	1	1
128	43	12	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
131	43	7	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
132	43	15	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
135	43	14	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
136	57	2264	0	1	1	4	2	4	4	2	4	5	2	4	3	5	2	1	3	4	3	2	4	4	3	3	3	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1	1
137	71	168	0	1	2	2	2	2	2	3	2	2	2	2	2	2	1	1	2	2	1	1	1	1	1	3	3	3	4	2	2	2	2	3	3	4	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
140	43	5	0	1	1	3	2	3	3	2	3	4	2	2	3	3	2	1	3	2	3	2	2	3	3	3	3	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	4	3	3	3	4	3	3	2	3	4	4	4	3	1	1
142	43	16	0	1	2	2	2	2	3	2	3	4	2	2	3	2	2	1	2	2	2	2	2	2	2	3	2	4	4	3	3	3	2	3	2	3	1	2	2	2	2	2	2	2	2	3	3	2	3	4	3	3	3	4	3	2	2	3	3	3	4	2	1	1
